attentive,Visual,4.5
attest,Auditory,3.059
attic,Visual,3.9
attire,Visual,4.55
attitude,Auditory,3.789
attorney,Visual,3.75
attractive,Visual,4.765
attractively,Visual,4.095
attractiveness,Visual,4.471
attunement,Auditory,2.667
auburn,Visual,4.133
auction off,Auditory,3.471
auctioneer,Auditory,3.263
audaciously,Auditory,2.333
audacity,Auditory,2.867
audibility,Auditory,4.125
audible,Auditory,4.278
audibleness,Auditory,4.722
audibly,Auditory,5
audience,Visual,4.167
audio,Auditory,4.944
audiogram,Auditory,3.938
audiologist,Auditory,4.176
audiology,Auditory,4.7
audiometric,Auditory,2.826
audiotape,Auditory,4.059
audiovisual,Visual,4.529
audition,Visual,4.056
auditor,Visual,3.941
auditorium,Visual,4.389
auditory,Auditory,3.762
aura,Interoceptive,2.167
aural,Auditory,3.2
aurora,Visual,4.235
authenticity,Visual,3.625
authoritarian,Auditory,2.933
authoritatively,Auditory,2.722
authoritativeness,Auditory,2.5
authorization,Auditory,3.176
auto,Visual,4.333
autobiography,Visual,3.882
autoeroticism,Visual,3.7
autograph,Visual,4.167
autographed,Visual,4.059
autoimmune,Interoceptive,2.75
autoimmunization,Interoceptive,1.938
automate,Visual,3.957
automobile,Visual,4.353
automotive,Visual,4.562
autumn,Visual,3.905
avalanche,Visual,4
avatar,Visual,4.088
avengement,Interoceptive,2.688
avenue,Visual,3.625
averseness,Interoceptive,2.923
aversion,Interoceptive,3.882
aviation,Visual,4.105
avocado,Gustatory,4.333
await,Interoceptive,2.235
awake,Interoceptive,3.789
awaken,Interoceptive,2.882
awakening,Interoceptive,3.684
awardee,Visual,3.812
awarder,Visual,3.812
aware,Interoceptive,3.238
awareness,Interoceptive,2.529
awe,Interoceptive,3.3
awed,Interoceptive,3.575
awestruck,Interoceptive,3.25
awkward,Interoceptive,3.188
awkwardly,Interoceptive,3.471
awl,Visual,3.7
awoke,Interoceptive,2.765
ax,Visual,3.938
axe,Visual,4.05
axel,Visual,3.938
aye,Auditory,3.545
azalea,Visual,3.8
babble,Auditory,4
babbler,Auditory,4.515
babbling,Auditory,4.111
baboon,Visual,4.211
baby,Visual,4.381
baby buggy,Visual,3.611
baby carriage,Visual,4.684
baby oil,Haptic,3.579
baby powder,Olfactory,3.625
baby sitter,Visual,3.636
baby talk,Auditory,4.4
babycarriage,Visual,4.263
babyface,Visual,3.889
babyhood,Visual,3.625
babyishly,Auditory,2.8
babysitter,Visual,3.842
babytalk,Auditory,4.579
back burner,Visual,3.75
back door,Visual,4.167
back seat,Visual,3.778
